N,sig
20,FALSE
30,FALSE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,FALSE
40,FALSE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,TRUE
30,FALSE
40,FALSE
50,TRUE
60,TRUE
70,FALSE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,TRUE
40,TRUE
50,FALSE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,TRUE
30,TRUE
40,TRUE
50,FALSE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,FALSE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,TRUE
40,TRUE
50,FALSE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,TRUE
30,TRUE
40,TRUE
50,FALSE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,FALSE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,TRUE
30,FALSE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,TRUE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,TRUE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,TRUE
30,FALSE
40,TRUE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,FALSE
40,TRUE
50,FALSE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
140,TRUE
150,TRUE
160,TRUE
170,TRUE
180,TRUE
190,TRUE
200,TRUE
20,FALSE
30,FALSE
40,FALSE
50,TRUE
60,TRUE
70,TRUE
80,TRUE
90,TRUE
100,TRUE
110,TRUE
120,TRUE
130,TRUE
