"triad"	"triplet"	"type"	"ident.dim"	"top1"	"left2"	"right3"	"hull"	"sail"	"os"	"ident"
1	1	2	2	16	66	25	2	3	2	3
2	1	2	2	25	66	16	2	1	2	1
3	1	2	2	66	16	25	1	3	1	3
4	1	2	2	25	16	66	3	1	3	1
5	1	2	2	66	25	16	1	2	1	2
6	1	2	2	16	25	66	3	2	3	2
7	2	2	2	61	11	52	2	3	2	3
8	2	2	2	52	11	61	2	1	2	1
9	2	2	2	11	61	52	1	3	1	3
10	2	2	2	52	61	11	3	1	3	1
11	2	2	2	11	52	61	1	2	1	2
12	2	2	2	61	52	11	3	2	3	2
13	3	2	1	61	66	52	3	2	2	3
14	3	2	1	52	66	61	1	2	2	1
15	3	2	1	66	61	52	3	1	1	3
16	3	2	1	52	61	66	1	3	3	1
17	3	2	1	66	52	61	2	1	1	2
18	3	2	1	61	52	66	2	3	3	2
19	4	2	1	16	11	25	3	2	2	3
20	4	2	1	25	11	16	1	2	2	1
21	4	2	1	11	16	25	3	1	1	3
22	4	2	1	25	16	11	1	3	3	1
23	4	2	1	11	25	16	2	1	1	2
24	4	2	1	16	25	11	2	3	3	2
25	5	2	2	66	16	55	2	3	2	3
26	5	2	2	55	16	66	2	1	2	1
27	5	2	2	16	66	55	1	3	1	3
28	5	2	2	55	66	16	3	1	3	1
29	5	2	2	16	55	66	1	2	1	2
30	5	2	2	66	55	16	3	2	3	2
31	6	2	1	66	61	55	3	2	2	3
32	6	2	1	55	61	66	1	2	2	1
33	6	2	1	61	66	55	3	1	1	3
34	6	2	1	55	66	61	1	3	3	1
35	6	2	1	61	55	66	2	1	1	2
36	6	2	1	66	55	61	2	3	3	2
37	7	2	1	11	16	22	3	2	2	3
38	7	2	1	22	16	11	1	2	2	1
39	7	2	1	16	11	22	3	1	1	3
40	7	2	1	22	11	16	1	3	3	1
41	7	2	1	16	22	11	2	1	1	2
42	7	2	1	11	22	16	2	3	3	2
43	8	2	2	11	61	22	2	3	2	3
44	8	2	2	22	61	11	2	1	2	1
45	8	2	2	61	11	22	1	3	1	3
46	8	2	2	22	11	61	3	1	3	1
47	8	2	2	61	22	11	1	2	1	2
48	8	2	2	11	22	61	3	2	3	2
