cond	subj	trial	triad	resp	rt
640	1	1	3	1	6697
640	1	2	32	2	3228
640	1	3	19	2	1115
640	1	4	18	3	1072
640	1	5	41	3	1540
640	1	6	26	2	1083
640	1	7	12	3	715
640	1	8	33	1	1403
640	1	9	38	3	638
640	1	10	27	2	1195
640	1	11	17	3	641
640	1	12	47	3	281
640	1	13	44	2	406
640	1	14	40	2	722
640	1	15	13	2	1040
640	1	16	2	2	480
640	1	17	10	3	763
640	1	18	46	3	446
640	1	19	29	3	645
640	1	20	8	3	763
640	1	21	6	2	646
640	1	22	23	2	1193
640	1	23	42	2	958
640	1	24	7	2	1201
640	1	25	48	3	753
640	1	26	36	3	622
640	1	27	39	2	765
640	1	28	9	2	634
640	1	29	4	3	714
640	1	30	1	2	683
640	1	31	22	3	755
640	1	32	20	2	757
640	1	33	15	3	918
640	1	34	30	3	755
640	1	35	14	1	837
640	1	36	43	2	637
640	1	37	11	3	675
640	1	38	35	1	783
640	1	39	24	3	583
640	1	40	28	2	920
640	1	41	37	3	640
640	1	42	5	1	597
640	1	43	16	1	803
640	1	44	31	3	718
640	1	45	34	1	756
640	1	46	21	1	677
640	1	47	25	2	801
640	1	48	45	1	714
640	10	1	11	3	2517
640	10	2	37	3	3368
640	10	3	21	3	1681
640	10	4	4	3	1330
640	10	5	7	3	562
640	10	6	1	3	489
640	10	7	12	3	447
640	10	8	30	3	242
640	10	9	32	1	2486
640	10	10	2	3	524
640	10	11	24	3	512
640	10	12	6	3	687
640	10	13	34	3	206
640	10	14	17	3	311
640	10	15	26	3	1140
640	10	16	41	3	331
640	10	17	23	3	2001
640	10	18	20	3	8
640	10	19	27	3	522
640	10	20	31	3	1404
640	10	21	36	2	443
640	10	22	47	3	531
640	10	23	28	1	360
640	10	24	25	3	129
640	10	25	13	3	63
640	10	26	44	2	1013
640	10	27	29	3	80
640	10	28	35	3	33
640	10	29	40	3	1718
640	10	30	8	1	1237
640	10	31	42	1	441
640	10	32	48	3	727
640	10	33	15	2	768
640	10	34	9	1	1045
640	10	35	3	3	1010
640	10	36	39	3	130
640	10	37	5	3	1166
640	10	38	19	3	1450
640	10	39	10	3	403
640	10	40	45	3	999
640	10	41	22	1	1088
640	10	42	46	3	232
640	10	43	38	3	217
640	10	44	14	3	25
640	10	45	43	3	1171
640	10	46	33	3	2405
640	10	47	16	3	1363
640	10	48	18	1	437
640	11	1	43	3	10788
640	11	2	28	3	1675
640	11	3	15	2	4190
640	11	4	27	2	5194
640	11	5	21	2	2592
640	11	6	3	3	4228
640	11	7	13	2	2391
640	11	8	46	3	3509
640	11	9	24	3	5762
640	11	10	16	1	4013
640	11	11	38	3	1961
640	11	12	36	2	2639
640	11	13	20	2	6184
640	11	14	2	3	2592
640	11	15	19	3	2113
640	11	16	44	3	2675
640	11	17	33	2	2115
640	11	18	7	1	1800
640	11	19	18	3	2189
640	11	20	31	3	1953
640	11	21	47	2	2041
640	11	22	8	3	2037
640	11	23	10	3	3615
640	11	24	14	2	1553
640	11	25	23	1	2188
640	11	26	9	1	1234
640	11	27	11	2	2120
640	11	28	40	2	4268
640	11	29	22	2	2517
640	11	30	41	2	1443
640	11	31	34	1	3594
640	11	32	30	3	2515
640	11	33	26	2	1920
640	11	34	29	2	1553
640	11	35	17	1	2190
640	11	36	5	2	2231
640	11	37	45	2	887
640	11	38	35	1	736
640	11	39	48	3	1040
640	11	40	1	1	2236
640	11	41	4	3	1364
640	11	42	39	3	2082
640	11	43	42	2	3318
640	11	44	25	1	2282
640	11	45	6	3	2279
640	11	46	12	3	1721
640	11	47	37	3	4548
640	11	48	32	1	2872
640	12	1	40	3	3157
640	12	2	19	1	2396
640	12	3	34	3	1799
640	12	4	13	3	1164
640	12	5	23	2	4829
640	12	6	4	3	1183
640	12	7	25	1	3915
640	12	8	32	1	3359
640	12	9	21	3	1580
640	12	10	11	1	2195
640	12	11	33	3	2840
640	12	12	24	2	2236
640	12	13	9	2	1592
640	12	14	39	3	1361
640	12	15	14	3	2243
640	12	16	31	3	1504
640	12	17	27	1	3202
640	12	18	8	3	1195
640	12	19	30	3	1000
640	12	20	45	1	3414
640	12	21	35	3	3338
640	12	22	12	3	1241
640	12	23	37	1	1521
640	12	24	44	2	2754
640	12	25	17	2	1446
640	12	26	46	3	2324
640	12	27	26	3	1242
640	12	28	42	1	1640
640	12	29	48	3	1118
640	12	30	18	2	2066
640	12	31	16	3	2118
640	12	32	47	1	1127
640	12	33	1	2	1963
640	12	34	22	1	1323
640	12	35	28	3	4023
640	12	36	5	3	2707
640	12	37	7	2	1114
640	12	38	29	2	2161
640	12	39	2	2	1122
640	12	40	36	2	5114
640	12	41	43	2	3556
640	12	42	38	1	1954
640	12	43	20	1	2833
640	12	44	10	3	1682
